RUN	RecordedSimulation	recordedsimulation	1587632571220	ma¤ana	3.3.1
REQUEST	15		request_10	1587632588596	1587632588599	OK	 
REQUEST	15		request_12	1587632588597	1587632588600	OK	 
REQUEST	15		request_13	1587632588598	1587632588602	OK	 
REQUEST	1		request_23	1587632588959	1587632588964	KO	j.i.IOException: Premature close
REQUEST	15		0.chunk.js	1587632588551	1587632589090	OK	 
REQUEST	15		request_2	1587632588552	1587632589095	OK	 
REQUEST	7		request_14	1587632589108	1587632589294	OK	 
REQUEST	7		bootstrap.min.css	1587632589296	1587632589455	OK	 
REQUEST	7		solid.css	1587632589296	1587632589457	OK	 
REQUEST	7		owasp-password-strength-test.js	1587632589296	1587632589462	OK	 
REQUEST	7		solid.js	1587632589297	1587632589465	OK	 
REQUEST	7		text-encoder-lite.min.js	1587632589296	1587632589473	OK	 
REQUEST	7		request_17	1587632589457	1587632589496	OK	 
REQUEST	7		request_16	1587632589456	1587632589497	OK	 
REQUEST	7		request_19	1587632589462	1587632589502	OK	 
REQUEST	7		request_15	1587632589297	1587632589600	OK	 
REQUEST	6		request_20	1587632589624	1587632589694	OK	 
REQUEST	6		bootstrap.min.css	1587632589695	1587632589737	OK	 
REQUEST	6		solid.css	1587632589695	1587632589739	OK	 
REQUEST	6		request_21	1587632589695	1587632589742	OK	 
REQUEST	6		request_22	1587632589695	1587632589743	OK	 
REQUEST	1		request_27	1587632589968	1587632589970	OK	 
REQUEST	1		request_28	1587632589971	1587632589973	OK	 
REQUEST	1		request_29	1587632589971	1587632589975	OK	 
REQUEST	1		request_30	1587632589971	1587632589990	OK	 
REQUEST	1		request_31	1587632589972	1587632589990	OK	 
REQUEST	1		request_32	1587632589972	1587632589991	OK	 
REQUEST	1		request_33	1587632589972	1587632589991	OK	 
REQUEST	8		request_14	1587632590139	1587632590323	OK	 
REQUEST	8		owasp-password-strength-test.js	1587632590325	1587632590537	OK	 
REQUEST	8		solid.js	1587632590325	1587632590541	OK	 
REQUEST	2		request_23	1587632590139	1587632590538	OK	 
USER	RecordedSimulation	16	START	1587632590546	1587632590546
REQUEST	16		request_0	1587632590547	1587632590551	OK	 
REQUEST	16		uniovi.jpg	1587632590553	1587632590555	OK	 
REQUEST	8		solid.css	1587632590324	1587632590562	OK	 
REQUEST	8		text-encoder-lite.min.js	1587632590325	1587632590563	OK	 
REQUEST	8		request_16	1587632590538	1587632590577	OK	 
REQUEST	8		request_17	1587632590541	1587632590581	OK	 
REQUEST	8		bootstrap.min.css	1587632590324	1587632590585	OK	 
REQUEST	16		request_1	1587632590554	1587632590591	OK	 
REQUEST	16		bundle.js	1587632590553	1587632590592	OK	 
REQUEST	16		request_5	1587632590592	1587632590598	OK	 
REQUEST	16		request_4	1587632590591	1587632590600	OK	 
REQUEST	16		request_3	1587632590556	1587632590601	OK	 
REQUEST	16		request_6	1587632590598	1587632590601	OK	 
REQUEST	16		main.chunk.js	1587632590554	1587632590602	OK	 
REQUEST	16		request_7	1587632590600	1587632590604	OK	 
REQUEST	16		request_8	1587632590601	1587632590605	OK	 
REQUEST	16		request_9	1587632590601	1587632590605	OK	 
REQUEST	16		request_10	1587632590602	1587632590606	OK	 
REQUEST	16		request_12	1587632590604	1587632590606	OK	 
REQUEST	16		request_13	1587632590605	1587632590608	OK	 
REQUEST	7		request_20	1587632590608	1587632590667	OK	 
REQUEST	8		request_15	1587632590325	1587632590668	OK	 
REQUEST	7		solid.css	1587632590668	1587632590711	OK	 
REQUEST	7		request_22	1587632590669	1587632590711	OK	 
REQUEST	7		bootstrap.min.css	1587632590668	1587632590712	OK	 
REQUEST	7		request_21	1587632590669	1587632590712	OK	 
REQUEST	2		request_23 Redirect 1	1587632590547	1587632590908	OK	 
REQUEST	2		mash.css	1587632590909	1587632590986	OK	 
REQUEST	16		0.chunk.js	1587632590553	1587632591085	OK	 
REQUEST	16		request_2	1587632590554	1587632591086	OK	 
REQUEST	3		request_23	1587632590876	1587632591286	OK	 
REQUEST	2		request_26	1587632590910	1587632591426	OK	 
REQUEST	9		request_14	1587632591126	1587632591453	OK	 
REQUEST	2		request_24	1587632590910	1587632591479	OK	 
USER	RecordedSimulation	17	START	1587632591546	1587632591546
REQUEST	17		request_0	1587632591547	1587632591551	OK	 
REQUEST	17		uniovi.jpg	1587632591552	1587632591554	OK	 
REQUEST	2		request_25	1587632590910	1587632591554	OK	 
REQUEST	17		request_1	1587632591553	1587632591588	OK	 
REQUEST	17		bundle.js	1587632591552	1587632591589	OK	 
REQUEST	17		request_5	1587632591589	1587632591594	OK	 
REQUEST	17		request_3	1587632591554	1587632591596	OK	 
REQUEST	17		request_6	1587632591594	1587632591597	OK	 
REQUEST	17		main.chunk.js	1587632591552	1587632591598	OK	 
REQUEST	17		request_4	1587632591589	1587632591598	OK	 
REQUEST	17		request_7	1587632591597	1587632591600	OK	 
REQUEST	17		request_8	1587632591597	1587632591601	OK	 
REQUEST	17		request_10	1587632591599	1587632591602	OK	 
REQUEST	17		request_9	1587632591598	1587632591603	OK	 
REQUEST	17		request_12	1587632591601	1587632591604	OK	 
REQUEST	17		request_13	1587632591601	1587632591605	OK	 
REQUEST	9		bootstrap.min.css	1587632591454	1587632591738	OK	 
REQUEST	9		solid.css	1587632591454	1587632591744	OK	 
REQUEST	9		owasp-password-strength-test.js	1587632591454	1587632591754	OK	 
REQUEST	9		text-encoder-lite.min.js	1587632591455	1587632591756	OK	 
REQUEST	8		request_20	1587632591671	1587632591777	OK	 
REQUEST	9		request_16	1587632591738	1587632591781	OK	 
REQUEST	9		solid.js	1587632591455	1587632591793	OK	 
REQUEST	3		request_23 Redirect 1	1587632591287	1587632591803	OK	 
REQUEST	9		request_19	1587632591754	1587632591805	OK	 
REQUEST	9		request_17	1587632591745	1587632591806	OK	 
REQUEST	8		solid.css	1587632591778	1587632591816	OK	 
REQUEST	8		request_21	1587632591778	1587632591818	OK	 
REQUEST	8		request_22	1587632591778	1587632591819	OK	 
REQUEST	8		bootstrap.min.css	1587632591778	1587632591819	OK	 
REQUEST	9		request_15	1587632591455	1587632591887	OK	 
REQUEST	3		mash.css	1587632591804	1587632591892	OK	 
REQUEST	17		request_2	1587632591553	1587632592113	OK	 
REQUEST	17		0.chunk.js	1587632591552	1587632592115	OK	 
REQUEST	3		request_26	1587632591805	1587632592256	OK	 
